dataTime,麥寮PT-85126,麥寮PT-85136,麥出PT-851126,彰入PT-M621,彰出PT-M622,大安溪PT-A451,中港溪PT-A441,鳳山溪PT-A461,桃入PT-A421,桃出PT-A422,桃機入PT-C2401,麥出FQ-85136,麥出FQ-85126,彰入FQ-M421,桃入FQ-A421,桃出FQ-A422,前段工況,後段工況
2021-06-24 14:24:41,8.451171875,8.439453125,8.60546875,8.0874996185302734,8.3000001907348633,BsonNull,BsonNull,BsonNull,7.5250000953674316,0.21250000596046448,0,-0.015625,0.0078125,7.1999998092651367,0,0,3,2
2021-06-24 14:24:42,8.451171875,8.439453125,8.60546875,8.0874996185302734,8.3000001907348633,BsonNull,BsonNull,BsonNull,7.5625,0.21250000596046448,0,-0.015625,0.0078125,7.1999998092651367,0,0,3,2
2021-06-24 14:24:42,8.451171875,8.439453125,8.60546875,8.0749998092651367,8.2875003814697266,BsonNull,BsonNull,BsonNull,7.5999999046325684,0.21250000596046448,0,-0.015625,0.0078125,7.5,0,0,3,2
2021-06-24 14:24:43,8.451171875,8.439453125,8.60546875,8.0749998092651367,8.2875003814697266,BsonNull,BsonNull,BsonNull,7.5999999046325684,0.21250000596046448,0,-0.015625,0.0078125,7.5,0,0,3,2
2021-06-24 14:24:44,8.451171875,8.439453125,8.60546875,8.0749998092651367,8.2875003814697266,BsonNull,BsonNull,BsonNull,7.625,0.21250000596046448,0,-0.015625,0.0078125,7.5,0,0,3,2
2021-06-24 14:24:45,8.451171875,8.439453125,8.60546875,8.0625,8.2749996185302734,BsonNull,BsonNull,BsonNull,7.6500000953674316,0.21250000596046448,0,-0.015625,0.0078125,7.8000001907348633,0,0,3,2
2021-06-24 14:24:45,8.451171875,8.439453125,8.60546875,8.0625,8.2749996185302734,BsonNull,BsonNull,BsonNull,7.6750001907348633,0.21250000596046448,0,-0.015625,0.0078125,7.8000001907348633,0,0,3,2
2021-06-24 14:24:46,8.451171875,8.439453125,8.60546875,8.0625,8.2749996185302734,BsonNull,BsonNull,BsonNull,7.6750001907348633,0.21250000596046448,0,-0.015625,0.0078125,7.8000001907348633,0,0,3,2
2021-06-24 14:24:47,8.451171875,8.439453125,8.60546875,8.0500001907348633,8.2624998092651367,BsonNull,BsonNull,BsonNull,7.6999998092651367,0.21250000596046448,0,-0.015625,0.0078125,7.9499998092651367,0,0,3,2
2021-06-24 14:24:48,8.451171875,8.439453125,8.60546875,8.0500001907348633,8.2624998092651367,BsonNull,BsonNull,BsonNull,7.7249999046325684,0.21250000596046448,0,-0.015625,0.0078125,7.9499998092651367,0,0,3,2
2021-06-24 14:24:49,8.451171875,8.439453125,8.60546875,8.0500001907348633,8.2624998092651367,BsonNull,BsonNull,BsonNull,7.7375001907348633,0.21250000596046448,0,-0.015625,0.0078125,8.25,0,0,3,2
2021-06-24 14:24:50,8.451171875,8.439453125,8.60546875,8.0500001907348633,8.2624998092651367,BsonNull,BsonNull,BsonNull,7.7624998092651367,0.21250000596046448,0,-0.015625,0.0078125,8.25,0,0,3,2
2021-06-24 14:24:51,8.451171875,8.439453125,8.60546875,8.0500001907348633,8.2624998092651367,BsonNull,BsonNull,BsonNull,7.7750000953674316,0.22499999403953552,0,-0.015625,0.0078125,8.25,0,0,3,2
2021-06-24 14:24:52,8.451171875,8.439453125,8.60546875,8.0249996185302734,8.25,BsonNull,BsonNull,BsonNull,7.8000001907348633,0.21250000596046448,0,-0.015625,0.0078125,8.5500001907348633,0,0,3,2
2021-06-24 14:24:53,8.451171875,8.439453125,8.60546875,8.0124998092651367,8.2375001907348633,BsonNull,BsonNull,BsonNull,7.8125,0.21250000596046448,0,-0.015625,0.0078125,8.6999998092651367,0,0,3,2
2021-06-24 14:24:54,8.451171875,8.439453125,8.60546875,8.0124998092651367,8.2375001907348633,BsonNull,BsonNull,BsonNull,7.8249998092651367,0.21250000596046448,0,-0.015625,0.0078125,8.6999998092651367,0,0,3,2
2021-06-24 14:24:55,8.451171875,8.439453125,8.60546875,8,8.2250003814697266,BsonNull,BsonNull,BsonNull,7.8375000953674316,0.21250000596046448,0,-0.015625,0.0078125,9,0,0,3,2
2021-06-24 14:24:56,8.451171875,8.439453125,8.60546875,8,8.2250003814697266,BsonNull,BsonNull,BsonNull,7.8499999046325684,0.21250000596046448,0,-0.015625,0.0078125,9,0,0,3,2
2021-06-24 14:24:57,8.451171875,8.439453125,8.60546875,7.9875001907348633,8.2124996185302734,BsonNull,BsonNull,BsonNull,7.8625001907348633,0.21250000596046448,0,-0.015625,0.0078125,9.1499996185302734,0,0,3,2
2021-06-24 14:24:58,8.451171875,8.439453125,8.60546875,7.9875001907348633,8.2124996185302734,BsonNull,BsonNull,BsonNull,7.875,0.21250000596046448,0,-0.015625,0.0078125,9.1499996185302734,0,0,3,2
2021-06-24 14:24:59,8.451171875,8.439453125,8.60546875,7.9749999046325684,8.1999998092651367,BsonNull,BsonNull,BsonNull,7.8874998092651367,0.21250000596046448,0,-0.015625,0.0078125,9.3000001907348633,0,0,3,2
2021-06-24 14:25:00,8.451171875,8.439453125,8.60546875,7.9749999046325684,8.1999998092651367,BsonNull,BsonNull,BsonNull,7.9000000953674316,0.21250000596046448,0,-0.015625,0.0078125,9.3000001907348633,0,0,3,2
2021-06-24 14:25:01,8.451171875,8.439453125,8.60546875,7.9625000953674316,8.1875,BsonNull,BsonNull,BsonNull,7.9124999046325684,0.21250000596046448,0,-0.015625,0.0078125,9.6000003814697266,0,0,3,2
2021-06-24 14:25:02,8.451171875,8.439453125,8.60546875,7.9625000953674316,8.1875,BsonNull,BsonNull,BsonNull,7.9124999046325684,0.22499999403953552,0,-0.015625,0.0078125,9.6000003814697266,0,0,3,2
2021-06-24 14:25:03,8.451171875,8.439453125,8.60546875,7.9625000953674316,8.1875,BsonNull,BsonNull,BsonNull,7.9124999046325684,0.22499999403953552,0,-0.015625,0.0078125,9.6000003814697266,0,0,3,2
2021-06-24 14:25:04,8.451171875,8.439453125,8.60546875,7.9499998092651367,8.1750001907348633,BsonNull,BsonNull,BsonNull,7.9250001907348633,0.21250000596046448,0,-0.015625,0.0078125,9.75,0,0,3,2
2021-06-24 14:25:05,8.451171875,8.439453125,8.60546875,7.9375,8.1625003814697266,BsonNull,BsonNull,BsonNull,7.9375,0.21250000596046448,0,-0.015625,0.0078125,10.050000190734863,0,0,3,2
2021-06-24 14:25:06,8.451171875,8.439453125,8.60546875,7.9375,8.1625003814697266,BsonNull,BsonNull,BsonNull,7.9499998092651367,0.21250000596046448,0,-0.015625,0.0078125,10.050000190734863,0,0,3,2
2021-06-24 14:25:07,8.451171875,8.439453125,8.60546875,7.9250001907348633,8.1499996185302734,BsonNull,BsonNull,BsonNull,7.9499998092651367,0.21250000596046448,0,-0.015625,0.0078125,10.199999809265137,0,0,3,2
2021-06-24 14:25:08,8.451171875,8.439453125,8.60546875,7.9250001907348633,8.1499996185302734,BsonNull,BsonNull,BsonNull,7.9625000953674316,0.21250000596046448,0,-0.015625,0.0078125,10.199999809265137,0,0,3,2
2021-06-24 14:25:09,8.451171875,8.439453125,8.60546875,7.9250001907348633,8.1499996185302734,BsonNull,BsonNull,BsonNull,7.9625000953674316,0.21250000596046448,0,-0.015625,0.0078125,10.199999809265137,0,0,3,2
2021-06-24 14:25:10,8.451171875,8.439453125,8.60546875,7.9124999046325684,8.125,BsonNull,BsonNull,BsonNull,7.9749999046325684,0.21250000596046448,0,-0.015625,0.0078125,10.350000381469727,0,0,3,2
2021-06-24 14:25:11,8.451171875,8.439453125,8.60546875,7.9000000953674316,8.125,BsonNull,BsonNull,BsonNull,7.9749999046325684,0.21250000596046448,0,-0.015625,0.0078125,10.5,0,0,3,2
